9/16/2015,306,6466,2.66,25,59,19
9/17/2015,327,7696,3.4,32,98,25
9/18/2015,147,2397,1.11,10,119,8
9/20/2015,357,7038,3.19,34,225,23
9/21/2015,714,11716,5.29,54,447,38
9/22/2015,271,6303,2.63,23,50,19
9/23/2015,595,9913,4.41,45,317,32
9/24/2015,699,12516,5.29,51,475,38
9/25/2015,398,9329,4.06,38,306,29
9/26/2015,568,12139,5.36,52,333,39
9/27/2015,589,9732,4.5,44,400,33
9/28/2015,310,5634,2.37,25,202,17
9/29/2015,799,14242,6.71,64,112,49
9/30/2015,822,13892,6.42,66,156,46
10/1/2015,383,7016,3.3,32,127,24
10/2/2015,821,15507,6.67,66,496,48
10/3/2015,374,7415,3.07,33,45,22
10/7/2015,165,4082,1.7,17,56,12
10/8/2015,443,8729,3.85,40,130,28
10/9/2015,900,15266,7.09,71,350,51
10/10/2015,363,6719,2.77,24,214,20
10/11/2015,626,11501,5.13,50,396,37
10/12/2015,327,6628,2.89,30,120,21
10/13/2015,601,14525,6.01,61,411,43
10/14/2015,256,4108,1.91,20,146,14
10/15/2015,836,15577,7.09,70,539,51
10/16/2015,342,6122,2.59,26,109,19
10/17/2015,779,14010,6.33,60,474,46
10/18/2015,126,2559,1.07,10,26,8
10/19/2015,863,16799,7.92,81,669,57
10/20/2015,249,5753,2.62,28,170,19
10/21/2015,154,3123,1.32,13,81,10
10/22/2015,201,3811,1.64,16,73,12
10/23/2015,149,3788,1.57,18,23,11
10/24/2015,603,10892,4.57,48,48,33
10/25/2015,236,4650,1.95,21,62,14
10/26/2015,614,14191,6.33,63,330,46
10/27/2015,258,4116,1.98,19,113,14
10/28/2015,262,4637,2.06,18,119,15
10/29/2015,295,6545,2.73,26,125,20
10/30/2015,498,9320,4.19,42,140,30
10/31/2015,160,3462,1.42,15,57,10
11/1/2015,201,3787,1.71,15,144,12
11/2/2015,899,15531,6.92,67,58,50
11/3/2015,186,3129,1.47,14,111,11
11/4/2015,802,15508,6.68,64,281,48
11/5/2015,309,7169,3.03,30,177,22
11/6/2015,588,14605,6,57,451,43
11/7/2015,738,16074,6.59,68,303,48
11/8/2015,565,9843,4.67,44,363,34
11/9/2015,109,2253,1.08,10,51,8
11/10/2015,749,13918,6.19,61,589,45
11/11/2015,401,8851,3.65,38,242,26
11/12/2015,953,16449,7.22,73,178,52
11/13/2015,898,14813,6.96,66,418,50
11/14/2015,385,8201,3.67,39,248,27
11/15/2015,637,13491,5.59,57,79,40
11/16/2015,180,3438,1.56,15,89,11
11/17/2015,772,13764,6.13,64,58,44
11/18/2015,128,2467,1.14,12,95,8
11/19/2015,421,9655,4.44,41,70,32
11/20/2015,520,12257,5.47,57,138,40
11/21/2015,657,14782,6.32,66,307,46
11/22/2015,641,12340,5.99,57,217,43
11/23/2015,841,13663,6.23,60,479,45
11/24/2015,329,6726,3.19,33,223,23
11/25/2015,461,8176,3.65,35,322,26
11/26/2015,652,15619,6.45,64,322,47
11/27/2015,509,11969,4.89,46,89,35
11/28/2015,86,2012,0.86,6,34,6
11/29/2015,393,7037,2.98,29,139,22
11/30/2015,84,1521,0.64,7,49,5
12/1/2015,469,11967,4.94,49,316,36
12/2/2015,366,6907,3.36,30,44,24
12/3/2015,101,2096,0.86,7,49,6
12/4/2015,514,9785,4.55,47,316,33
12/5/2015,617,11600,5.1,51,117,37
12/6/2015,597,14403,6.1,61,113,44
12/7/2015,599,10574,4.75,47,436,34
12/8/2015,785,12385,5.86,56,109,42
12/16/2015,279,6290,2.63,26,77,19
12/17/2015,616,11389,5.05,47,60,37
12/18/2015,387,6705,2.93,29,157,21
12/19/2015,240,4507,2.07,18,107,15
12/20/2015,391,7810,3.76,37,36,27
12/21/2015,698,14948,6.35,60,66,46
12/22/2015,468,11508,4.77,49,382,34
12/23/2015,680,14854,6.6,64,87,48
12/24/2015,142,2978,1.27,11,40,9
12/25/2015,352,7532,3.52,37,48,25
12/26/2015,659,13486,6.34,64,219,46
12/27/2015,91,2243,0.95,7,57,7
12/28/2015,524,9257,4.36,46,95,32
12/29/2015,597,11811,5.74,56,190,41
12/30/2015,91,2238,0.92,6,33,7
12/31/2015,99,2424,0.99,11,81,7
1/1/2016,343,6969,3.04,32,258,22
1/2/2016,561,10597,4.42,46,181,32
1/3/2016,805,14888,7.19,73,431,52
1/4/2016,351,7794,3.54,38,245,26
1/5/2016,208,3544,1.56,16,133,11
1/6/2016,125,2037,0.99,10,56,7
1/7/2016,864,14670,6.49,61,161,47
1/8/2016,238,3828,1.81,20,74,13
1/9/2016,629,12715,5.77,58,186,42
1/10/2016,274,5566,2.61,23,142,19
1/11/2016,466,9698,4.52,47,125,33
1/12/2016,384,7406,3.18,32,75,23
1/13/2016,460,9981,4.11,41,153,30
1/15/2016,277,6689,2.83,30,213,20
1/16/2016,823,15521,7.35,75,223,53
1/17/2016,555,13253,5.44,52,481,39
1/18/2016,318,7448,3.32,32,32,24
1/19/2016,705,13009,6.08,61,288,44
1/20/2016,556,9529,4.38,45,366,32
1/21/2016,702,15205,6.88,70,401,50
1/22/2016,486,8979,3.74,34,26,27
1/23/2016,837,16375,6.75,69,287,49
1/24/2016,220,4431,1.85,16,131,13
1/25/2016,768,15324,6.57,63,94,47
1/26/2016,432,7620,3.37,35,289,24
1/27/2016,325,7043,3.01,33,62,22
1/28/2016,492,10935,5.18,51,244,37
1/29/2016,637,12434,5.18,50,296,37
1/30/2016,386,6848,2.9,30,176,21
2/2/2016,393,8096,3.54,37,43,26
2/3/2016,676,13687,5.83,61,38,42
2/4/2016,505,10168,4.9,49,97,35
2/5/2016,622,12274,5.98,60,314,43
2/6/2016,652,12510,5.18,53,283,37
2/7/2016,156,3435,1.45,15,102,10
2/8/2016,491,10167,4.72,48,232,34
2/9/2016,903,16492,6.84,68,424,49
2/10/2016,839,16710,7.91,80,240,57
2/11/2016,660,11410,5.08,53,138,37
2/12/2016,846,13888,6.41,64,312,46
2/13/2016,160,3802,1.63,15,104,12
2/14/2016,584,11692,4.87,51,73,35
2/15/2016,683,12518,5.94,58,171,43
2/16/2016,446,10762,4.69,48,164,34
2/17/2016,169,3374,1.38,15,73,10
2/18/2016,196,3967,1.83,17,62,13
2/19/2016,431,8162,3.45,35,352,25
2/20/2016,725,16222,7.48,77,98,54
2/21/2016,544,9698,4.03,37,44,29
2/22/2016,249,5977,2.57,22,33,19
2/23/2016,126,2726,1.17,8,64,8
2/24/2016,169,3103,1.33,11,33,10
2/25/2016,88,2134,0.88,7,65,6
2/26/2016,740,14426,6.79,64,332,49
2/27/2016,511,11989,5.17,48,178,37
2/28/2016,154,2632,1.2,11,69,9
2/29/2016,675,13399,6.14,61,578,44
3/1/2016,141,2308,1.09,12,81,8
3/2/2016,410,9789,4.06,37,231,29
3/3/2016,150,2496,1.21,11,97,9
3/4/2016,468,10258,4.68,49,293,34
3/5/2016,803,13704,5.95,59,433,43
3/6/2016,437,9484,4.16,38,228,30
3/7/2016,390,8862,3.94,36,72,28
3/8/2016,780,14732,6.73,64,225,49
3/9/2016,627,12368,5.6,54,202,40
3/10/2016,546,9614,4.23,45,302,31
3/11/2016,436,8523,3.58,36,304,26
3/12/2016,177,4550,1.86,21,122,13
3/13/2016,447,8097,3.52,37,31,25
3/14/2016,141,2964,1.28,13,35,9
3/15/2016,527,11094,5.32,54,169,38
3/16/2016,542,11675,5.07,47,337,37
3/17/2016,120,2344,1.12,12,40,8
3/18/2016,542,12034,5.26,51,483,38
3/19/2016,976,16036,7.34,70,127,53
3/20/2016,157,2763,1.29,12,83,9
3/21/2016,373,7796,3.73,36,209,27
3/22/2016,587,11236,4.85,48,28,35
3/23/2016,964,16337,7.25,73,560,52
3/24/2016,145,3320,1.51,16,123,11
3/25/2016,433,8693,3.94,36,158,28
3/26/2016,694,12051,5.22,51,497,38
3/27/2016,501,11124,4.56,47,22,33
3/28/2016,932,15907,6.96,68,60,50
3/29/2016,586,11012,5.1,49,368,37
3/30/2016,717,14241,6.7,66,224,48
3/31/2016,307,6408,2.82,25,190,20
4/1/2016,236,4656,1.93,17,69,14
4/2/2016,879,16316,6.76,65,454,49
4/3/2016,919,16519,6.91,70,511,50
4/4/2016,427,8956,3.92,39,212,28
4/5/2016,599,13646,5.65,59,298,41
4/6/2016,484,9459,4.53,47,320,33
4/7/2016,867,16423,6.88,70,541,50
4/8/2016,627,15588,6.47,61,124,47
4/9/2016,503,11043,5.03,50,394,36
4/10/2016,664,14237,6.71,67,48,49
4/11/2016,145,2540,1.23,14,71,9
4/12/2016,272,5672,2.37,20,179,17
4/13/2016,879,15248,6.81,70,606,49
4/14/2016,590,13204,6.09,62,133,44
4/15/2016,643,13499,6.3,60,442,46
4/16/2016,622,14483,6.55,65,494,47
4/17/2016,422,7806,3.27,32,387,24
4/18/2016,269,6444,2.77,29,105,20
4/19/2016,853,15786,6.67,63,226,48
4/20/2016,711,12372,5.69,56,256,41
4/21/2016,192,3689,1.77,20,116,13
4/22/2016,797,16105,7.67,73,423,55
4/23/2016,192,4350,1.86,15,26,13
4/24/2016,855,15972,6.68,69,537,48
4/25/2016,116,2722,1.21,13,90,9
4/26/2016,199,3497,1.69,14,69,12
4/27/2016,595,11113,4.65,46,479,34
4/28/2016,355,7699,3.66,39,109,26
4/29/2016,569,11986,4.91,46,253,35
4/30/2016,370,7862,3.52,38,107,25
5/1/2016,597,11006,4.81,45,476,35
5/2/2016,788,15655,7.58,74,380,55
5/3/2016,419,7123,3.2,34,380,23
5/4/2016,237,4011,1.8,20,92,13
5/5/2016,254,5224,2.17,24,51,16
5/6/2016,689,12271,5.79,60,52,42
5/7/2016,524,11684,4.85,50,371,35
5/8/2016,533,9978,4.33,45,59,31
5/9/2016,366,6269,2.73,27,207,20
5/10/2016,701,14219,6.49,67,72,47
5/11/2016,678,15312,6.52,66,252,47
5/12/2016,383,8555,3.95,37,198,29
5/13/2016,228,4775,2.13,21,95,15
5/14/2016,139,2469,1.17,9,69,8
5/15/2016,418,8032,3.73,38,83,27
5/16/2016,227,4742,2.12,24,56,15
5/17/2016,412,8304,3.88,38,208,28
5/18/2016,602,12257,5.68,59,119,41
5/19/2016,176,3483,1.45,13,128,10
5/20/2016,670,11437,5.54,55,54,40
5/21/2016,817,15563,7.04,71,349,51
5/22/2016,599,11535,4.87,50,374,35
5/23/2016,790,14978,6.64,69,446,48
5/24/2016,126,2145,1,12,37,7
5/25/2016,743,13611,5.99,60,368,43
5/26/2016,268,6206,2.55,25,36,18
5/27/2016,380,6807,2.81,26,65,20
5/28/2016,229,4084,1.8,20,75,13
5/29/2016,523,8823,4.19,44,170,30
5/30/2016,148,3027,1.26,11,33,9
7/5/2016,214,4918,2.12,18,154,15
7/6/2016,144,3525,1.45,12,85,10
7/7/2016,538,10428,4.41,46,252,32
7/8/2016,557,11466,5.46,54,328,39
7/9/2016,351,7148,3.37,30,61,24
7/10/2016,423,8253,3.78,36,90,27
7/11/2016,284,7309,2.99,28,68,22
7/12/2016,532,12336,5.32,51,341,38
7/13/2016,108,1729,0.81,6,28,6
7/14/2016,709,13726,6.01,58,314,43
7/15/2016,571,12496,5.39,54,257,39
7/16/2016,512,11553,5.33,50,218,39
7/17/2016,856,14051,6.34,62,74,46
7/18/2016,517,10402,4.74,46,241,34
7/19/2016,290,6413,2.96,32,174,21
7/20/2016,484,11954,5.09,53,359,37
7/21/2016,236,5220,2.14,24,182,15
7/22/2016,196,3962,1.76,20,157,13
7/23/2016,609,11056,5.3,49,110,38
7/24/2016,427,8721,4.14,40,90,30
7/25/2016,325,6197,2.6,26,129,19
7/26/2016,225,4541,1.99,17,37,14
7/27/2016,657,12470,5.39,50,170,39
7/28/2016,648,10999,4.95,47,403,36
7/29/2016,677,12595,6.1,58,183,44
7/30/2016,90,1946,0.81,7,34,6
7/31/2016,549,10872,4.73,49,186,34
8/1/2016,266,5179,2.49,25,33,18
8/2/2016,516,9906,4.48,47,138,32
8/3/2016,301,5119,2.47,21,165,18
8/4/2016,83,1668,0.76,9,30,5
8/5/2016,698,11693,5.41,54,381,39
8/6/2016,564,13754,5.87,55,151,42
8/7/2016,814,18207,8.06,78,346,58
8/8/2016,587,8923,4.35,44,254,31
8/9/2016,564,12795,5.94,62,442,43
8/10/2016,758,14060,6.48,67,220,47
8/11/2016,627,11819,5.18,49,170,37
8/12/2016,704,11829,5.63,57,72,41
8/13/2016,579,13453,5.51,58,50,40
8/14/2016,338,8353,3.48,31,279,25
8/15/2016,296,5861,2.67,24,117,19
8/16/2016,141,3122,1.28,13,89,9
8/17/2016,427,8820,4.07,37,156,29
8/18/2016,119,2397,1.01,10,52,7
8/19/2016,601,10599,4.49,42,170,32
8/20/2016,397,7482,3.25,34,52,23
8/21/2016,993,18551,8.2,79,628,59
8/22/2016,659,12253,5.03,51,177,36
8/23/2016,871,15287,6.8,71,622,49
8/24/2016,541,12702,5.7,56,121,41
8/25/2016,240,4842,2.08,21,87,15
8/26/2016,635,10149,4.77,48,51,34
8/27/2016,725,13163,6.3,61,415,46
8/28/2016,656,12152,5.56,55,494,40
8/29/2016,194,3940,1.79,17,30,13
8/30/2016,468,8443,3.96,38,104,29
8/31/2016,440,7521,3.61,35,26,26
9/1/2016,601,11348,4.66,47,217,34
9/2/2016,303,6192,2.83,25,132,20
9/3/2016,385,7938,3.27,35,315,24
9/4/2016,359,8460,3.74,40,228,27
9/5/2016,561,10601,4.38,46,274,32
9/6/2016,206,3578,1.63,14,65,12
9/7/2016,807,14691,6.56,62,447,47
9/8/2016,431,8998,4.02,38,133,29
9/9/2016,423,8320,3.65,35,169,26
9/10/2016,223,5050,2.18,19,165,16
9/11/2016,593,13300,5.7,56,536,41
9/12/2016,408,8896,3.96,40,337,29
9/23/2016,294,7480,3.09,31,166,22
9/24/2016,408,8760,3.65,35,348,26
9/25/2016,122,2427,1.01,9,100,7
9/26/2016,189,3372,1.41,13,77,10
9/27/2016,463,9338,4.36,43,220,32
9/28/2016,169,3767,1.66,18,65,12
9/29/2016,326,6317,2.74,29,168,20
9/30/2016,377,7464,3.12,33,59,23
10/1/2016,663,15532,6.76,69,24,49
